wine_id,wine_name,winery,year,wine_type,rating,num_reviews,price,country,region,style,style_body,style_acidity,intensity,sweetness,tannin
1163144,Albarino 2022,La Caña,2022,White,4.0,220,21.31,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
9676369,Marchamalo Godello 2024,La Quinta,2024,White,4.0,218,19.01,España,Monterrei,Spanish Galicia Godello White,3,3,3.0,1.0,
6401111,Costumbres Blanco 2023,Vinos en Voz Baja,2023,White,4.0,215,19.75,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
2698353,Les Cerveres 2023,Oriol Rossell,2023,White,4.0,214,20.5,España,Penedès,Spanish White,3,2,3.0,1.0,
1704723,Terra de Cuques 2022,Terroir Al Límit Soc. Lda,2022,White,4.1,214,36.75,España,Priorato,Spanish White,3,2,3.0,1.0,
9048283,Verdejo Reserva 2019,Protos,2019,White,4.0,212,22.5,España,Rueda,Verdejo (España),3,3,2.0,2.0,
4326642,Ull de Serp Finca La Closa - Macabeu 2022,Arché Pagès,2022,White,4.0,211,22.9,España,Empordà,Spanish White,3,2,3.0,1.0,
12372006,Ceramic Sauvignon Blanc 2023,Vicente Gandía,2023,White,4.1,211,25.99,España,Valencia,Sauvignon Blanc (España),3,3,3.0,1.0,
11829484,Destellos 2024,Raul Moreno,2024,White,4.0,210,23.5,España,Andalucía,Spanish White,3,2,3.0,1.0,
10051640,Laslias de Beronia Verdejo Sobre Lias 2024,Beronia,2024,White,4.1,209,17.55,España,Rueda,Verdejo (España),3,3,2.0,2.0,
1898035,Gran Selección Blanco 2024,Marina Alta,2024,White,4.0,209,5.78,España,Alicante,Spanish White,3,2,3.0,1.0,
5528998,Fai un Sol de Carallo 2021,Bodegas El Paraguas,2021,White,4.4,206,95.83,España,Ribeiro,Spanish White,3,2,3.0,1.0,
7488323,Pirata 2016,Bodega Contador (Benjamín Romeo),2016,White,4.3,205,174.0,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
10567855,Chiguita 2024,Jade Gross,2024,White,4.2,204,49.5,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
10499767,Albariño 2022,Acios da Xesteirina,2022,White,4.2,203,49.8,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
9250697,Unanimous 'Santa Cruz' Albillo Mayor 2022,Tres Piedras,2022,White,4.3,203,28.95,España,Ribera del Duero,,,,,,
9217149,Blanco Semidulce 2023,Bodegas Valdelana,2023,White,4.0,202,11.05,España,Rioja,Rioja Blanco (España),3.0,3.0,4.5,1.5,
9170657,Amador Medrano Finca Valdegamarra Tempranillo Blanco 2023,Medrano Irazu,2023,White,4.2,200,19.7,España,Rioja,Rioja Blanco (España),3.0,3.0,4.5,1.5,
9950371,O Con da Moura Godello 2022,Bodegas Martín Códax,2022,White,4.2,200,44.5,España,Monterrei,Spanish Galicia Godello White,3.0,3.0,3.0,1.0,
7291589,Perrito Faldero Blanco Semidulce 2024,Azabache,2024,White,4.0,198,5.4,España,Rioja,Rioja Blanco (España),3.0,3.0,4.5,1.5,
7715312,Cerro La Isa Blanco 2022,Bodega Juan Carlos Sancha,2022,White,4.3,197,39.0,España,Rioja,Rioja Blanco (España),3.0,3.0,4.5,1.5,
2741,Limousin 2023,Marqués de Riscal,2023,White,4.0,196,18.5,España,Rueda,Verdejo (España),3.0,3.0,2.0,2.0,
5758905,Atalante Caíño Blanco 2020,Attis,2020,White,4.1,195,34.4,España,Rías Baixas,Spanish White,3.0,2.0,3.0,1.0,
1245800,7 2021,Itsasmendi,2021,White,4.0,194,15.2,España,Bizkaiko Txakolina,Spanish País Vasco Txakoli White,2.0,3.0,3.0,1.0,
8497794,Alejandra 2022,Vizcarra,2022,White,4.1,193,26.05,España,Ribera del Duero,Spanish White,3.0,2.0,3.0,1.0,
9396756,Sangarida La Guiana Godello 2022,Attis,2022,White,4.3,193,42.5,España,Bierzo,Spanish White,3.0,2.0,3.0,1.0,
10884549,Puesta en Chus 2024,Bodega Frontio,2024,White,4.1,193,14.85,España,Arribes,Spanish White,3.0,2.0,3.0,1.0,
3506402,Malvasía Seco Fermentado en Barricas 2023,Bermejo,2023,White,4.1,193,23.75,España,Lanzarote,Spanish Islas Canarias White,2.0,3.0,2.0,1.5,
3646290,Fragil 2023,Micro Bio (MicroBio),2023,White,4.1,190,38.0,España,Castilla y León,Verdejo (España),3.0,3.0,2.0,2.0,
7334200,Ànima de L’Avi Arrufí 2023,Celler Piñol,2023,White,4.1,189,23.0,España,Terra Alta,Spanish Catalunya Grenache Blanc White,3.0,2.0,3.0,2.0,
1691634,Trenzado 2022,Suertes del Marqués,2022,White,4.0,186,20.36,España,Valle de la Orotava,Spanish Islas Canarias White,2,3,2.0,1.5,
6264046,La Pequeñita Blanco Macerado 2019,Alonso & Pedrajo,2019,White,4.0,186,33.9,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
4626507,Alejandrvs Barrica Treixadura 2021,Antonio Montero,2021,White,4.1,185,17.93,España,Ribeiro,Spanish White,3,2,3.0,1.0,
7416583,Gran Predicat Blanc 2019,Cellers Grifoll Declara,2019,White,4.2,185,30.5,España,Priorato,Spanish Catalunya Grenache Blanc White,3,2,3.0,2.0,
10773470,Oceánico Albariño Seleccion 2023,Maior de Mendoza,2023,White,4.0,183,16.0,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
6802279,Ètoile 2023,Muchada-Léclapart,2023,White,4.0,183,43.83,España,Cádiz,Spanish White,3,2,3.0,1.0,
1661843,Finca Saltamontes 2018,Javier Sanz Viticultor,2018,White,4.1,183,44.9,España,Rueda,Verdejo (España),3,3,2.0,2.0,
4906726,Kirkilla 2020,Ameztoi,2020,White,4.1,181,22.5,España,Getariako Txakolina,Spanish País Vasco Txakoli White,2,3,3.0,1.0,
8516610,Pesseroles Brisat 2023,Martinet,2023,White,4.2,181,42.2,España,Priorato,Spanish White,3,2,3.0,1.0,
5441320,Finca La Colina El Loco Verdejo 2023,Vinos Sanz,2023,White,4.0,181,10.7,España,Rueda,Verdejo (España),3,3,2.0,2.0,
5758902,Coribante 2022,Attis,2022,White,4.2,181,34.4,España,Rías Baixas,Spanish White,3,2,3.0,1.0,
5597107,UBE de Ubérrima  Miraflores 2023,Cota 45,2023,White,4.0,179,23.5,España,Vino de España,Spanish White,3,2,3.0,1.0,
2463025,V/89 Vallisbona 2019,L'Olivera,2019,White,4.2,176,23.75,España,Costers del Segre,Spanish White,3,2,3.0,1.0,
1220246,Rioja Plácet Valtomelloso 2022,Palacios Remondo,2022,White,4.1,176,65.5,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
9001522,Essència Blanco 2023,RAR Vins Singulars,2023,White,4.0,176,16.89,España,Priorato,Spanish White,3,2,3.0,1.0,
7540254,El Escondite Caiño Blanco - Godello 2023,Lagar do Merens,2023,White,4.2,176,40.05,España,Ribeiro,Spanish White,3,2,3.0,1.0,
1620143,Louro Godello 2024,Rafael Palacios,2024,White,4.1,176,20.11,España,Valdeorras,Spanish Galicia Godello White,3,3,3.0,1.0,
9335375,Massimo Selección Godello 2024,Atlantic Galician Wineries - AGW,2024,White,4.0,175,14.5,España,Ribeira Sacra,Spanish Galicia Godello White,3,3,3.0,1.0,
6521936,Vibrations 2021,Muchada-Léclapart,2021,White,4.1,175,50.55,España,Cádiz,Spanish White,3,2,3.0,1.0,
9304576,Lara O Blanco Crianza 2021,Territorio Luthier,2021,White,4.1,174,17.9,España,Ribera del Duero,Spanish White,3,2,3.0,1.0,
4926488,Blanco 2023,Can Axartell,2023,White,4.0,173,15.7,España,Mallorca,Spanish White,3,2,3.0,1.0,
8546925,El Pagès Content Orange 2025,Celler la Salada,2025,White,4.0,173,14.3,España,Penedès,Spanish White,3,2,3.0,1.0,
4366813,Verdejo 2024,Cabra Loca,2024,White,4.0,172,8.6,España,Rueda,Verdejo (España),3,3,2.0,2.0,
5794737,Armas de Lanzós Magnum 2018,Fefiñanes,2018,White,4.3,172,92.9,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
1656980,Pansa Blanca 2023,Raventos d'Alella,2023,White,4.0,172,12.6,España,Alella,Spanish White,3,2,3.0,1.0,
7552047,Narupa Salicornia Albariño de Costa 2023,Narupa Vinos,2023,White,4.3,171,21.6,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
12666077,Llampuga Vinícola 2024,4 Kilos Vinícola,2024,White,4.0,171,16.25,España,Mallorca,Spanish White,3,2,3.0,1.0,
6139549,Malkoa Single Vineyard Ondarrabi Zuri 2017,Astobiza,2017,White,4.0,169,28.45,España,Arabako Txakolina,Spanish País Vasco Txakoli White,2,3,3.0,1.0,
5960040,Blanco 2024,Ladiferenta,2024,White,4.1,169,12.55,España,Pla de Bages,Spanish White,3,2,3.0,1.0,
9050360,Le Fleq 2023,Flequi Berruti,2023,White,4.1,169,16.14,España,Cádiz,Spanish White,3,2,3.0,1.0,
1163326,Conde de Valdemar Finca Alto Cantabria 2021,Bodegas Valdemar,2021,White,4.0,167,17.99,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
9121,Viña Tondonia Gran Reserva Blanco 2004,R. López de Heredia,2004,White,4.4,167,762.95,España,Rioja Alta,Rioja Blanco (España),3,3,4.5,1.5,
1254309,Flor de Vetus Verdejo 2024,Vetus,2024,White,4.0,166,7.9,España,Rueda,Verdejo (España),3,3,2.0,2.0,
4554617,Singulars Blanc de Vinyes Velles 2023,Mas Llunes,2023,White,4.1,165,21.63,España,Cataluña,Spanish White,3,2,3.0,1.0,
10695116,Sorkin 2024,Makatzak Wild Wines,2024,White,4.1,163,36.85,España,Getariako Txakolina,Spanish País Vasco Txakoli White,2,3,3.0,1.0,
8559413,El Badiu Pansa Blanca 2023,Vins de la Memòria,2023,White,4.1,162,20.9,España,Alella,Spanish White,3,2,3.0,1.0,
7022503,Altos de Losada Godello 2023,Losada,2023,White,4.1,161,28.89,España,Bierzo,Spanish White,3,2,3.0,1.0,
7942,Fan D.Oro 2023,Arzuaga,2023,White,4.1,160,14.9,España,Ribera del Duero,Chardonnay (España),4,3,3.0,1.0,
10786425,Cosi Joan 2023,Mas Gomà,2023,White,4.1,160,19.99,España,Penedès,Spanish White,3,2,3.0,1.0,
9567895,Flor de Muga Blanco Reserva 2020,Bodegas Muga,2020,White,4.1,158,32.3,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
9484696,Granbazán Veigalobos Albarino 2021,Agro de Bazán,2021,White,4.3,158,42.5,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
3295816,Pedra de Guix 2021,Terroir Al Límit Soc. Lda,2021,White,4.3,158,65.8,España,Priorato,Spanish Catalunya Grenache Blanc White,3,2,3.0,2.0,
11785721,Finca l'Argata Darmós Blanc 2022,Joan d'Anguera,2022,White,4.2,158,62.5,España,Montsant,Spanish White,3,2,3.0,1.0,
6229938,Abaris 2023,Bodegas Abeica,2023,White,4.1,156,20.87,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
79473,Godello Sobre Lias 2023,Valdesil,2023,White,4.0,156,19.2,España,Valdeorras,Spanish Galicia Godello White,3,3,3.0,1.0,
10557319,Sant Fost de Campsentelles 2022,Can Matons,2022,White,4.0,153,18.0,España,Alella,Spanish White,3,2,3.0,1.0,
9736011,Tres Feixes Garnatxa Blanca 2022,L'Enclòs de Peralba,2022,White,4.1,152,23.95,España,Cataluña,Spanish Catalunya Grenache Blanc White,3,2,3.0,2.0,
1165031,Albariño de Fefiñanes 2024,Fefiñanes,2024,White,4.1,152,17.65,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
7953955,La Sobrada Albariño 2023,Thunder Wine Makers,2023,White,4.1,152,17.4,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
9950732,Vijariego Blanco 2024,Bodega Tamerán,2024,White,4.1,151,35.99,España,Gran Canaria,Spanish Islas Canarias White,2,3,2.0,1.5,
6407774,Ca'n Xicatlà Blanc de Mantonegro 2023,Bodega Ca'n Verdura,2023,White,4.2,151,36.95,España,Binissalem-Mallorca,Spanish White,3,2,3.0,1.0,
11105123,Valtuill de Abajo Godello - Doña Blanca 2024,Jose Antonio García,2024,White,4.0,151,16.6,España,Bierzo,Spanish White,3,2,3.0,1.0,
